"Subs. Service Line No.","Compute Type","Active","Usage Line Number","Metered service date","Sub Account","Computed Quantity","Existing Entitled Qty","Usage Quantity","UOM","Product","Parent Product","Net Unit Price","SPM Document Number","Line Net Amount","Bill To Plan Number","Consumed Quantity","Overage","Compute Source","Status","Available Amt After Computing","Is Credit Memo?","Spm Partner Credit Amt","Bill to Customer","Trxn Extension ID","Line Net Amount Increased Precision","UCM Payment Credit Amt"
"3.018","Funded Allocation Usage","true",,"09-04-2021","",0.00045,0,0.00045,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.03424,"true","","Invoiced | Skipped by SPM",3433496.02788,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-07-2021","",0.00059,0,0.00059,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.0646,"true","","Invoiced | Skipped by SPM",3429623.47310,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-03-2021","",0.0004,0,0.0004,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.02188,"true","","Invoiced | Skipped by SPM",3435332.88016,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-09-2021","",0.00074,0,0.00074,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.10084,"true","","Invoiced | Skipped by SPM",3426000.18229,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-06-2021","",0.00051,0,0.00051,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.04765,"true","","Invoiced | Skipped by SPM",3431651.11501,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-26-2021","",0.00199,0,0.00199,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.61907,"true","","Invoiced | Skipped by SPM",3399896.83609,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-19-2021","",0.00147,0,0.00147,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.36224,"true","","Invoiced | Skipped by SPM",3409856.62560,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-05-2021","",0.00046,0,0.00046,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.03561,"true","","Invoiced | Skipped by SPM",3433298.80517,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-30-2021","",0.00234,0,0.00234,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.87078,"true","","Invoiced | Skipped by SPM",3392225.95303,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"09-16-2021","",0.00121,0,0.00121,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"10710253 - 10-01-2021 - 933.9",0.00000,"",0.26839,"true","","Invoiced | Skipped by SPM",3414451.85671,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
